kode_batik,nama_batik,ina_deskripsi,eng_deskripsi
11,Brendi,"Brendi adalah nama minuman keras yang diimpor dari mancanegara pada era pemerintahan Hindia Belanda. Minuman ini biasanya diminum oleh orang dewasa dan orang tua karena harganya yang tidak terjangkau bagi anak muda yang belum memiliki penghasilan cukup. Brendi difungsikan sebagai minuman penambah vitalitas dan stamina, biasanya diminum sebanyak 1-2 sloki. Minuman jenis whisky (meskipun masyarakat Jawa tetap menyebutnya Brendi) memiliki simbol dagang berupa bulatan dengan tiga koin yang bertatahkan gambar di dalamnya. Inilah awal ide dari motif nitik Kawung Brendi.
","Brendi was the name of imported liquor during the Dutch East Indies era. Usually, only old people and adults drank this drink because the price was not affordable for young people who had not yet earned enough. Meant as a drink to increase vitality and stamina, Brendi was typically consumed in 1-2 shots. Whiskey-like drinks (although Javanese people still call it Brendi) had a trade symbol of three coins in a row with images inside. This was the inspiration behind creating the nitik kawung brendi motif."
12,Cakar Ayam,"Batik Nitik Motif cakar ayam adalah simbol dari semangat menyongsong hari esok untuk mencari rejeki, seperti halnya ayam yang di pagi buta sudah mengais tanah untuk mencari makanan. Pada upacara perkawinan gaya Yogyakarta, motif batik cakar ayam biasanya dipakai oleh calon mempelai selama pingitan atau setelah upacara siraman. Selain itu, motif ini juga sering digunakan saat seorang istri sedang menggendong bayi.","Nitik Batik Motif Cakar Ayam is a symbol of the spirit of facing tomorrow to seek fortune, akin to a chicken that scours the ground for food in the early morning. During a Yogyakarta-style wedding ceremony, the cakar ayam batik motif is typically worn by the bride-to-be and groom-to-be during the pingitan (seclusion) or after the siraman (bathing) ritual. Additionally, this motif is often used when a wife is carrying a baby."
13,Sekar Menur,"Bunga menur (Clerodendrum chinense) berwarna putih bersih dan saling menumpuk. Warna putih tersebut melambangkan kesucian yang bertumpuk. Artinya, berbuatlah kebaikan sebanyak-banyaknya tanpa mengharapkan imbalan apapun.
","Menur (Clerodendrum chinense) flowers are pure white and overlap each other. The white color symbolizes piled-up purity. This means, do good deeds as much as possible without expecting anything in return."
14,Sekar Tebu,"Sekar tebu. Tanaman tebu (Saccharum officinarum) dalam bahasa Jawa memiliki bunga yang disebut gleges; gleges dalam bahasa Jawa berarti tertawa berkepanjangan, entah karena senang atau lucu. Makna dari ragam hias ini adalah nasihat agar seseorang tidak menilai atau melakukan segala sesuatu dengan berlebihan. Sebaiknya berhati-hati dan mempertimbangkan segala hal agar tidak terjerumus dalam kondisi yang tidak diinginkan.","Sugarcane (Saccharum officinarum) has flowers called gleges in Javanese, which means prolonged laughter, either because it's joyful or humorous. The meaning of this motif is advice for someone not to judge or do things excessively. It's better to be careful and considerate to avoid falling into unwanted situations."
15,Sekar Manggis,"Hanya dilihat dari bentuk bunga manggis (Garcinia mangostana) sebagai inspirasi untuk menciptakan motif batik nitik. Buah manggis dikenal sebagai ratu buah karena rasanya yang sangat menyegarkan, dengan rasa manis dan asam yang seimbang. Makna dari motif ini adalah harapan agar pemakainya menjadi manusia yang terbaik, baik secara lahiriah maupun batiniah, bagi masyarakatnya.","It is only seen from the shape of the mangosteen (Garcinia mangostana) flower as an idea to create a nitik batik motif. Mangosteen is known as the queen of fruits. It has a very refreshing taste, balanced between sweetness and sourness. The meaning of this motif is a hope that the wearer will become the best human being physically and mentally for the community."
16,Sekar Randu,"Sekar randu. Tanaman randu (Ceiba pentandra) adalah tanaman yang menghasilkan serabut biji yang bernama kapuk. Kapuk bermanfaat sebagai bahan pengisi alas tidur bangsa-bangsa di dunia, sehingga memberi kenikmatan. Selain itu, bunga randu juga menyebarkan sedikit bau harum. Makna dari ragam hias ini adalah sebaik-baiknya orang hidup haruslah memberi nikmat kepada sesama dan selalu menjaga nama baik agar terjaga kehormatannya.","Sekar randu. Randu (Ceiba pentandra) is a plant that produces fibers called kapuk. Kapuk is useful as a filling material for mattresses around the world, thus providing enjoyment. Apart from that, randu flowers also spread a light fragrance. The meaning of this motif is that the best person should give enjoyment to others and always maintain a good name to preserve their honor."
17,Worawari Rumpuk,"Kembang wora-wari dikenal sebagai bunga sepatu dalam bahasa Indonesia. Wora-wari rumpuk adalah bunga sepatu yang bertumpuk (ganda/berlipat). Pada umumnya, bunga wora-wari yang banyak ditanam di masyarakat Jawa berwarna merah. Warna merah dari bunga wora-wari adalah simbol cinta, gairah, dan semangat. Selain warna merah, bunga ini juga ada yang berwarna putih, kuning, merah muda, dan ungu.","Wora-wari flower in Indonesian is bunga sepatu (Hibiscus). Wora-wari rumpuk is a stacked (double/multiple) hibiscus flower. Mostly, wora-wari flowers that are widely planted in Javanese society are the red ones. The red color of the wora-wari flower is a symbol of love, passion, and spirit. Apart from red, there are also white, yellow, pink, and purple wora-wari flowers."
18,Sekar Duku,Diambil dari bentuk bunga duku sebagai ide untuk menciptakan salah satu motif batik. Hal ini karena pohon duku banyak ditanam di daerah tempat tinggal penduduk. Pandangan terhadap bunga duku tersebut dilakukan dari atas.,The shape of the duku flower is used as an idea to create a batik motif because many duku trees were planted in the area where people lived. The duku flower is seen from above.
19,Sekar Jagung,"Dalam bahasa Jawa, bunga jagung (Zea mays) disebut sinuwun. Kata sinuwun dalam budaya Jawa memiliki arti sesuatu yang ditinggikan atau dihormati. Motif batik ini merupakan pesan agar kita sebagai manusia harus menghormati sesama manusia, terutama orang yang lebih tua.","In Javanese, corn (Zea mays) flowers are called sinuwun. The word sinuwun in Javanese culture means something that is exalted or respected. This batik motif is a message that we as humans must respect our fellow human beings, especially those who are older."
20,Jayakirana,"Jaya Kirana (Wijanarka) adalah Senapati Raja Angling Dharma dari kerajaan Malwapati. Adapun nama lain dari Jaya Kirana adalah Wijanarka. Cerita ini masuk dalam genre pewayangan Madya. Pesan yang ingin disampaikan adalah pentingnya seseorang memiliki jiwa kepahlawanan yaitu tanpa pamrih, rela berkorban untuk kepentingan nusa dan bangsa, seperti yang dapat diteladani dari sikap Jaya Kirana (Wijanarka).","Jaya Kirana (Wijanarka) was the Senapati (War Commander) of King Angling Dharma of the Malwapati kingdom. Another name for Jaya Kirana is Wijanarka. This epic is part of the Madya puppet genre. The message conveyed by this motif is the importance of having a heroic spirit, namely selflessness and willingness to sacrifice for the interests of the homeland and nation, as exemplified by the attitude of Jaya Kirana (Wijanarka)."
21,Mawur,"Dalam bahasa Jawa, mawur mempunyai arti sesuatu yang tersebar berserakan atau tidak menjadi satu.","In Javanese, mawur means something that is scattered or does not become one."
22,Sekar Tanjung,"Sekar tanjung. Tanjung (Mimusops elengi) adalah tanaman peneduh yang menghasilkan bunga berbau harum dan berbentuk cantik. Dalam bahasa Jawa, tanjung juga merupakan akronim dari istilah tansah njunjung. Ragam hias ini diciptakan dengan harapan agar manusia selalu mengutamakan perbuatan baik yang mengharumkan nama keluarga dan masyarakat pada umumnya.
","Sekar tanjung. Tanjung (Mimusops elengi) is a shade plant that produces fragrant flowers and has a beautiful shape. In Javanese, tanjung is also an acronym for the term tansah njunjung. This motif was created with the hope that humans always prioritize good deeds that make their family and society in general proud."
23,Sekar Keben,"Keben (Barringtonia asiatica) adalah nama pohon yang dapat tumbuh baik di daerah pantai, namun juga ditanam di salah satu halaman depan Kraton Yogyakarta, sehingga pintu masuk di halaman tersebut dinamakan regol keben. Di bawah pohon keben yang daunnya besar itu, orang dapat berteduh dengan aman dari sengatan sinar matahari. Motif batik sekar keben menyiratkan harapan agar kehidupan manusia atau pemakainya bertindak seperti pohon keben dan bunganya, artinya dapat digunakan untuk mencari ketentraman di bawah keindahan (karena bunga keben indah sekali berwarna ungu). Bunga keben berbentuk seperti kap lampu dengan warna ungu.","Keben (Barringtonia asiatica) is the name of a tree that can grow well in coastal areas but is also planted in one of the front courtyards of the Yogyakarta Palace, so the entrance to this courtyard is called regol keben (keben gate). Under a keben tree with its large leaves, people can safely take shelter from the sun. The sekar keben batik motif implies a hope that the human or its wearer will act like a keben tree and its flowers, meaning that one can find peace under its beauty (because keben flowers are very beautiful and are purple). Keben flowers are shaped like lampshades with a purple color."
24,Sekar Srengenge,Sekar srengenge. Sekar srengenge (bahasa Jawa) berarti bunga matahari (bahasa Indonesia) (Helianthus annuus L.) yaitu bunga yang berwarna kuning dan selalu menghadap ke arah matahari. Maknanya adalah sebuah simbol konsistensi dalam menghadapi kehidupan bukan menghindar dari kesulitan tetapi menghadapinya dengan tegar demi menghasilkan buah pemikiran yang bermanfaat.,"Sekar srengenge. Sekar srengenge (Javanese) means sunflower (Helianthus annuus L.), which is a yellow flower that always faces the sun. The meaning of this motif is a symbol of consistency in facing life, not avoiding difficulties but facing them firmly in order to produce useful thoughts."
25,Sekar Soka,"Sekar soka. Tanaman soka atau asoka (Ixora coccinea) adalah tanaman yang dapat memiliki bunga majemuk berkelompok dan bermacam-macam warna seperti merah tua, jingga, kuning, atau putih. 

Dalam dunia pewayangan, asoka atau soka merupakan nama sebuah taman di mana Dewi Shinta, istri Prabu Rama, disembunyikan oleh Rahwana setelah diculik. Taman tersebut dikenal sebagai Taman Arga Soka. Meskipun hidup di taman yang indah dengan bunga-bunga yang mekar, hati sang dewi sangat sedih karena harus berpisah dari suaminya yang sangat dicintainya. Makna dari motif sekar soka adalah bahwa dalam kehidupan ini, manusia akan mengalami berbagai macam perasaan: dukacita, kebahagiaan, kesedihan, dan kegembiraan, penderitaan dan kenyamanan. Namun, semua itu harus dihadapi dengan sabar hingga tiba waktunya untuk kembali kepada realitas yang abadi, seperti yang dialami oleh Dewi Shinta.","Seka soka. Soka or asoka (Ixora coccinea) is a plant that can produce clustered compound flowers in various colors including dark red, orange, yellow, or white. 

In the puppetry world, asoka or soka was the name of a garden where Dewi Shinta, the wife of Prabu Rama, was hidden by Rahwana after being kidnapped. This garden was known as Taman Arga Soka. Despite residing in a garden adorned with beautiful flowers, the goddess's heart was deeply saddened by her separation from her beloved husband. The meaning behind the sekar soka motif signifies that in life, humans will encounter a spectrum of emotions: sorrow, happiness, sadness, and joy, alongside hardships and comforts. All of these experiences should be endured patiently until the time comes to return to eternal reality, as exemplified by Dewi Shinta's journey."
26,Sekar Nangka,"Ragam hias ini bernama sekar nangka atau bunga nangka (Artocarpus heterophyllus). Ragam hias ini memiliki makna agar seseorang berhati-hati dalam menilai segala sesuatu. Janganlah hanya berdasarkan pada tampak luarnya, akan tetapi juga harus dicermati hingga sifat yang tersimpan di dalam hati seseorang. Hal ini dilukiskan dengan bentuk buah nangka yang dari luar nampak berduri, namun di dalamnya terdapat buah yang manis dan biji yang gurih apabila dimasak. Sekar nangka dalam bahasa Jawa mempunyai nama angkup. Tetapi dalam menjelaskan makna ragam hias ini adalah buah nangkanya.","This motif is called sekar nangka or jackfruit flower (Artocarpus heterophyllus). This motif has the meaning of a hope that someone is careful in judging everything. Do not judge anything based on its outer appearance only, but observe also the character stored in the person's heart. This is implied in the shape of a jackfruit which from the outside looks thorny, but on the inside, there are sweet fruit and seeds that are savoury when cooked. Sekar nangka in Javanese is called angkup. But to explain the meaning of this motif, the jackfruit is used."
27,Kawung Nitik,"Ragam hias batik Kawung adalah ragam hias yang terdiri atas empat lingkaran yang saling bersinggungan satu dengan yang lain, yang tersusun sedemikian rupa dan keempatnya saling bersentuhan di mana di tengahnya terdapat ragam hias mlinjon. Ragam hias kawung sering dikonotasikan sebagai bentuk bunga kawung atau bunga kolang-kaling. Ini adalah simbol pandangan masyarakat Jawa tentang Keblat Papat Limo Pancer. Manusia hendaknya bisa mengekang 4 hawa nafsu untuk menyatu dengan Tuhannya (Manunggaling Kawulo kaliyan Gusti). Ada pula yang menafsirkan bahwa kawung merupakan bunga yang sedang mekar sempurna, yang maknanya adalah harapan baik untuk masa depan yang selalu berkembang.","Kawung is a motif consisting of four circles that intersect with each other, which are arranged in such a way, and all the four touch each other in the middle where there is a mlinjon motif. The Kawung motif is often connoted as the shape of kawung flowers or kolang-kaling flowers. This is a symbol of the Javanese people's concept of Keblat Papat Limo Pancer. Humans should be able to control the four carnal desires to be able to unite with their God (Manunggaling Kawulo kaliyan Gusti). Some also interpret kawung as a flower that is in full bloom, which means a good hope for an evolving future."
28,Sekar Kentang,Namanya diambil dari bentuk bunga kentang (Solanum tuberosum) sebagai ide membuat salah satu bentuk motif nitik. Bentuk bunga tanaman kentang yang memberi manfaat sebagai salah satu bahan pangan bagi manusia. Jadi ragam hias ini menyiratkan harapan agar pemakainya selalu memberikan manfaat (migunani) bagi sesama.,"The name is taken from the shape of the potato (Solanum tuberosum) flowers as an idea to create a nitik motif. Considering the benefit of kentang (potato) as a food for humans, this motif implies the hope that the wearer will always provide benefits (migunani) for others."
29,Sekar pundhak,"Sekar pudhak, pudhak (Pandanus tectorius) adalah nama tanaman pandan yang berduri. Bunganya berwarna putih dan beraroma harum. Pada sore hari keharumannya lebih nyata menyebar ke lingkungannya. Makna dari ragam hias ini adalah sebuah harapan agar pemakainya mampu menjaga kehormatan sehingga status sosialnya dalam masyarakat terjaga dan terhormat.","Sekar pudhak, pudhak (Pandanus tectorius) is the name of a thorny pandan plant. The flowers are white and fragrant. The fragrance becomes stronger in the afternoon, spreading to the surroundings. The meaning of this motif is a hope that the wearer can maintain honour so that his social status in society is maintained and respected."
30,Sekar Dlima,"Diambil dari bentuk bunga delima (Punica granatum) sebagai ide mencipta salah satu motif batik.
",From the shape of the pomegranate flower (Punica granatum) emerged an idea to create a batik motif.
31,Karawitan,"Karawitan yang menjadi inspirasi dari ragam hias nitik ini sebenarnya adalah bunga karawitan. Namun, karawitan juga merupakan orkestra musik Jawa dengan instrumen yang sangat variatif berupa alat musik tiup, gesek, pukul, patik, dll. Untuk menghasilkan nada selaras dalam sebuah aransemen maka harus ada kerjasama yang harmonis. 

Jadi motif Nitik Karawitan mempunyai makna bahwa setiap orang harus hidup bermasyarakat dan bekerjasama dengan orang lain, karena sifat manusia sebagai makhluk sosial yang tidak bisa hidup sendiri. Maknanya adalah semua orang harus bekerja sama untuk menghasilkan sesuatu yang dibutuhkan oleh masyarakat.","The karawitan that inspired this nitik motif actually is the karawitan flower. However, karawitan is also a Javanese music orchestra involving very varied instruments including wind instruments, strings, beats, patik, etc. To be able to produce a harmonious tone in an arrangement, harmonious cooperation must be there. 

So, the Nitik Karawitan motif has a meaning that everyone must live in society and cooperate with others because human nature is a social being that cannot live alone. It means that everyone must work together to produce something that is needed by society."
32,Cinde Wilis,"Cinde Wilis mempunyai arti kain sutra berwarna hijau yang bergambarkan bunga. Ragam hias ini diadopsi dari kain sutra hijau yang bergambar bunga (konon berasal dari India). Wilis dalam bahasa Jawa artinya warna hijau. Jadi Cinde Wilis ini mempunyai makna kesuburan yang selalu identik dengan warna hijau. Motif ini juga sering dipakai pengantin dengan busana Kasatriyan Ageng Yogyakarta (dengan prada).
",Cinde Wilis has the meaning of a green silk cloth that depicts flowers. This motif was adopted from a green silk cloth depicted with flowers (said to be originating from India). Wilis in Javanese means green. Cinde Wilis has the meaning of fertility which is always associated with green. This motif is also often worn by the brides and grooms wearing the Kasatriyan Ageng Yogyakarta wedding costume (with prada).
33,Sekar Mlati,Sekar mlathi adalah simbol kesucian. Hanya dilihat dari bentuk bunga melati sebagai ide untuk membuat salah satu ragam motif nitik. Bunga melati (Jasmine) juga menebarkan bau yang sangat harum dan disukai banyak orang. Jadi makna ragam hias batik ini adalah harapan agar pemakainya menciptakan suasana menyenangkan dan menyehatkan bagi banyak orang.,"Sekar mlathi is a symbol of purity. It is only seen from the shape of the jasmine flower as an idea to make a nitik batik motif. Jasmine flowers also emit a very fragrant smell that many people like. So, the meaning of this batik motif is a hope that the wearer creates a pleasant and healthy atmosphere for many people."
34,Kuncup Kanthil,"Bunga Kanthil (Magnolia x alba) adalah nama bunga yang baunya harum, warnanya putih dan memiliki makna yang penting dalam masyarakat Jawa karena bunga tersebut dianggap sebagai simbol tetap kemanthil yang artinya akan selalu dikenang, sehingga ragam hias ini merupakan harapan agar kita semua selalu dapat mengenang semua yang baik dan dapat meneladaninya.","Kanthil (Magnolia alba) is the name of a fragrant flower. It is white and has an important meaning in the Javanese society because the flower is considered to be a symbol of staying kemanthil which means being continued to be remembered. So, this motif symbolizes a hope that we all will always be able to remember all good things and can also emulate so."
35,Sekar Dangan,"Dangan dalam bahasa Jawa halus artinya sembuh. Diambil dari namanya, motif ini mempunyai harapan untuk kesembuhan atau harapan masa depan yang lebih baik.","Dangan is a fine Javanese word which means healing. Seen from its name, this motif symbolizes hope for healing or a better future."
36,Sekar Sawo,"Sekar sawo. Tanaman sawo (Manilkara zapota) adalah tanaman buah yang banyak ditanam di halaman rumah orang Jawa. Bunga tanaman ini dalam bahasa Jawa bernama rikuh. Ragam hias sekar sawo merupakan sebuah peringatan bahwa orang menjalani kehidupan janganlah seenaknya, tetapi harus memperhatikan adanya orang lain yang mungkin lebih segalanya. Apakah lebih tua dan harus dihormati, lebih pandai yang harus disegani, dan seterusnya. Jadi intinya adalah sebuah peringatan agar seseorang tetap memperhatikan dan menjaga diri dalam pergaulan agar tidak menjumpai kesulitan dalam hidupnya.","Sawo (Manilkara zapota) is a fruit plant that is widely grown in the yard of the Javanese people. The flower of this plant in Javanese is called rikuh. Sekar Sawo motif is a reminder that people should not live life arbitrarily but must also mind other people who may be more in everything. For example, they are older or smarter, therefore, should be respected, and so on. The point is, it is a reminder that people should pay attention and take care of themselves in society so as not to encounter difficulties in life."
37,Manggar,Manggar adalah kelopak bunga kelapa (Cocos nucifera) yang berbentuk rangkaian memanjang. Bunga ini merupakan simbol dari kesetiaan antara satu dengan yang lainnya dalam kehidupan.,Manggar is the petals of coconut flowers (Cocos nucifera) that form an elongated series. This flower symbolizes mutual loyalty in life.
38,Sekar Cengkeh,Bunga cengkeh (Syzygium aromaticum) dalam bahasa Jawa namanya adalah polong. Polong dengan kata lain adalah plong yang mempunyai arti lega/puas. Jadilah manusia yang harus menerima apa yang diberikan oleh Tuhan.,Clove flowers (Syzygium aromaticum) in Javanese are called polong. Polong in another word is plong which means relieved/satisfied. Be a human being who must accept what is given by God.
39,Sritaman,"Sritaman. Dalam bahasa Jawa, sri taman adalah taman yang berada dalam istana para raja. Artinya taman yang dapat membangun pemikiran yang bijaksana kepada seorang raja agar dapat menjadi panutan bagi rakyatnya. Makna ragam hias ini adalah harapan agar pemakainya selalu bersikap bijaksana dalam segala aspek kehidupannya.","Sri Taman. In Javanese, sri taman is a garden that is located in the palaces of kings. It means a garden that can build wise thoughts for a king so that he can be a role model for his people. The meaning of this motif is a hope that the wearer will always be wise in all aspects of life."
40,Sekar Mundu,"Terinspirasi dari bunga tanaman mundhu (Garcinia dulcis). Motif ini bermakna agar pemakainya dapat menyatu dengan lingkungannya, membangun kebersamaan, dan bersedia berbagi segala sesuatu dengan masyarakat lingkungannya. Atau dengan kata lain, menjaga kebersamaan dan toleransi. Hal ini dapat dijelaskan bahwa sekar mundhu dalam bahasa Jawa bernama kocok/meped.","Inspired by the flower of the mundhu plant (Garcinia dulcis), this motif symbolizes a hope that the wearer can blend with the environment, build togetherness, and be willing to share everything with the surrounding community, or in other words, maintaining togetherness and tolerance. It can be explained that sekar mundhu in Javanese is called kocok/meped."
41,Sekar Andong,"Andong (Cordyline fruticosa) adalah nama tanaman yang daunnya berwarna merah dan merah keunguan, jadi Sekar Andong adalah bunga tanaman andong. Tanaman andong yang merupakan tanaman hias di halaman rumah. Bunganya berwarna putih dan kecil- kecil. Kemungkinan si pencipta ragam hias ini menangkap keindahan warna bunga yang putih diantara daun yang merah.","Andong (Cordyline fruticosa) is the name of a plant whose leaves are red and purplish. So, Sekar Andong is the flower of the Andong plant. Andong, which is a decorative plant for a house yard, has small, white flowers. There is a possibility that the creator of this motif captured the beauty of white flowers among red leaves."
